user_id,session_id,subscription_type,user_journey
1516,2980231,Annual,"Homepage -> Homepage"
1516,2980248,Annual,"Homepage -> Homepage"
1516,2992252,Annual,"Homepage -> Homepage"
1516,3070491,Annual,"Homepage -> Homepage"
1516,3709807,Annual,"Homepage -> Homepage"
1516,3723132,Annual,"Homepage -> Homepage"
1516,3723365,Annual,"Homepage -> Homepage"
1516,3723382,Annual,"Homepage -> Homepage"
1516,3723427,Annual,"Homepage -> Homepage"
1516,3723483,Annual,"Homepage -> Homepage"
1516,3723508,Annual,"Homepage -> Homepage"
1516,3724778,Annual,"Homepage -> Homepage"
1516,3726160,Annual,"Homepage -> Homepage"
3395,3645805,Annual,"Homepage -> Homepage"
3395,3657408,Annual,"Homepage -> Homepage"
3395,3712148,Annual,"Homepage -> Homepage"
3395,3713857,Annual,"Homepage -> Homepage"
10107,3653049,Annual,"Resources Center -> Resources Center - Homepage -> Resources Center - Resources Center -> Homepage - Homepage -> Homepage"
10107,3655508,Annual,"Homepage -> Homepage"
10107,3655510,Annual,"Homepage -> Homepage"
10107,3655968,Annual,"Homepage -> Homepage"
10107,3656751,Annual,"Homepage -> Homepage"
10107,3656761,Annual,"Homepage -> Homepage"
10107,3657001,Annual,"Homepage -> Homepage"
10107,3657036,Annual,"Homepage -> Homepage"
10107,3657049,Annual,"Homepage -> Homepage"
10107,3657083,Annual,"Homepage -> Homepage"
10107,3657114,Annual,"Homepage -> Homepage"
10107,3657143,Annual,"Homepage -> Homepage"
10107,3657160,Annual,"Homepage -> Homepage"
10107,3657165,Annual,"Homepage -> Homepage"
11145,3604036,Monthly,"Homepage -> Homepage"
11145,3616619,Monthly,"Homepage -> Homepage"
11145,3663283,Monthly,"Homepage -> Homepage"
11145,3732821,Monthly,"Homepage -> Homepage"
11145,3762550,Monthly,"Homepage -> Homepage"
11145,3820355,Monthly,"Homepage -> Homepage"
11145,3824728,Monthly,"Homepage -> Homepage"
11145,3824914,Monthly,"Homepage -> Homepage"
11145,3899308,Monthly,"Homepage -> Homepage"
11145,4159299,Monthly,"Homepage -> Homepage"
11145,4184374,Monthly,"Homepage -> Homepage"
11145,4226032,Monthly,"Homepage -> Homepage"
12400,3981254,Monthly,"Homepage -> Homepage"
12400,3981424,Monthly,"Homepage -> Homepage - Homepage -> Resources Center - Resources Center -> Resources Center - Resources Center -> Homepage"
12400,4007641,Monthly,"Homepage -> Homepage"
12400,4007777,Monthly,"Homepage -> Homepage"
13082,4082241,Monthly,"Homepage -> Homepage"
13082,4170113,Monthly,"Homepage -> Homepage"
13082,4170146,Monthly,"Homepage -> Homepage"
13082,4179007,Monthly,"Homepage -> Homepage"
13082,4179383,Monthly,"Homepage -> Homepage"
14415,3592143,Monthly,"Homepage -> Homepage"
14415,3666190,Monthly,"Homepage -> Homepage"
14415,3722839,Monthly,"Homepage -> Homepage"
14415,3828098,Monthly,"Homepage -> Homepage"
14415,3828133,Monthly,"Homepage -> Homepage"
14415,3829493,Monthly,"Homepage -> Homepage"
14415,3874755,Monthly,"Homepage -> Homepage"
14415,3892958,Monthly,"Homepage -> Homepage"
14415,3900939,Monthly,"Homepage -> Homepage"
14415,3902684,Monthly,"Homepage -> Homepage"
14415,3912668,Monthly,"Homepage -> Homepage"
14415,3952610,Monthly,"Homepage -> Homepage"
14415,3998280,Monthly,"Homepage -> Homepage"
14415,4011202,Monthly,"Homepage -> Homepage"
14415,4017025,Monthly,"Homepage -> Homepage"
14415,4074250,Monthly,"Homepage -> Homepage"
